PRISM Time Series Data
Location:  Lat: 45.4937   Lon: -89.5857   Elev: 464m
Climate variable: ppt
Spatial resolution: 4km
Period: 2021-01-01 - 2021-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2023-Jun-01
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm)
2021-01-01,0.00
2021-01-02,0.00
2021-01-03,0.00
2021-01-04,0.00
2021-01-05,0.92
2021-01-06,0.00
2021-01-07,0.00
2021-01-08,0.00
2021-01-09,0.00
2021-01-10,0.00
2021-01-11,0.00
2021-01-12,0.00
2021-01-13,0.00
2021-01-14,0.00
2021-01-15,1.81
2021-01-16,1.51
2021-01-17,0.00
2021-01-18,0.00
2021-01-19,0.00
2021-01-20,0.00
2021-01-21,0.00
2021-01-22,0.00
2021-01-23,0.00
2021-01-24,3.43
2021-01-25,0.00
2021-01-26,0.00
2021-01-27,0.00
2021-01-28,0.00
2021-01-29,0.00
2021-01-30,0.00
2021-01-31,3.33
2021-02-01,0.30
2021-02-02,0.00
2021-02-03,0.00
2021-02-04,0.99
2021-02-05,18.02
2021-02-06,0.00
2021-02-07,0.00
2021-02-08,0.00
2021-02-09,0.00
2021-02-10,0.00
2021-02-11,0.00
2021-02-12,1.35
2021-02-13,0.00
2021-02-14,0.93
2021-02-15,0.00
2021-02-16,0.00
2021-02-17,0.00
2021-02-18,0.00
2021-02-19,0.37
2021-02-20,0.00
2021-02-21,0.00
2021-02-22,3.36
2021-02-23,1.75
2021-02-24,6.69
2021-02-25,0.57
2021-02-26,0.00
2021-02-27,0.00
2021-02-28,0.00
2021-03-01,7.06
2021-03-02,0.00
2021-03-03,0.00
2021-03-04,0.00
2021-03-05,0.00
2021-03-06,0.00
2021-03-07,0.00
2021-03-08,0.00
2021-03-09,0.00
2021-03-10,0.49
2021-03-11,11.53
2021-03-12,0.00
2021-03-13,0.00
2021-03-14,0.00
2021-03-15,0.00
2021-03-16,1.21
2021-03-17,0.00
2021-03-18,0.35
2021-03-19,0.00
2021-03-20,0.00
2021-03-21,0.00
2021-03-22,0.00
2021-03-23,0.00
2021-03-24,10.17
2021-03-25,4.79
2021-03-26,0.00
2021-03-27,0.00
2021-03-28,7.58
2021-03-29,0.00
2021-03-30,0.00
2021-03-31,0.00
2021-04-01,0.00
2021-04-02,0.00
2021-04-03,0.00
2021-04-04,0.00
2021-04-05,0.00
2021-04-06,19.56
2021-04-07,17.23
2021-04-08,3.04
2021-04-09,8.05
2021-04-10,5.26
2021-04-11,9.16
2021-04-12,12.72
2021-04-13,5.66
2021-04-14,1.32
2021-04-15,1.87
2021-04-16,0.00
2021-04-17,0.00
2021-04-18,0.00
2021-04-19,2.23
2021-04-20,0.00
2021-04-21,0.00
2021-04-22,0.53
2021-04-23,0.00
2021-04-24,1.10
2021-04-25,2.40
2021-04-26,2.52
2021-04-27,7.91
2021-04-28,0.48
2021-04-29,0.00
2021-04-30,0.75
2021-05-01,0.00
2021-05-02,0.00
2021-05-03,1.43
2021-05-04,1.28
2021-05-05,0.00
2021-05-06,0.00
2021-05-07,1.33
2021-05-08,0.00
2021-05-09,0.00
2021-05-10,0.00
2021-05-11,0.00
2021-05-12,0.00
2021-05-13,0.00
2021-05-14,0.00
2021-05-15,0.00
2021-05-16,1.70
2021-05-17,0.00
2021-05-18,0.00
2021-05-19,2.38
2021-05-20,3.13
2021-05-21,16.38
2021-05-22,4.97
2021-05-23,0.00
2021-05-24,4.36
2021-05-25,7.26
2021-05-26,20.58
2021-05-27,0.00
2021-05-28,1.74
2021-05-29,0.00
2021-05-30,0.00
2021-05-31,1.22
2021-06-01,8.56
2021-06-02,0.00
2021-06-03,0.00
2021-06-04,1.38
2021-06-05,0.00
2021-06-06,0.00
2021-06-07,0.00
2021-06-08,0.00
2021-06-09,4.19
2021-06-10,0.40
2021-06-11,49.02
2021-06-12,12.58
2021-06-13,0.00
2021-06-14,0.00
2021-06-15,0.00
2021-06-16,0.00
2021-06-17,0.00
2021-06-18,0.61
2021-06-19,0.73
2021-06-20,0.00
2021-06-21,18.92
2021-06-22,0.74
2021-06-23,0.00
2021-06-24,6.60
2021-06-25,2.18
2021-06-26,0.00
2021-06-27,5.53
2021-06-28,0.00
2021-06-29,7.63
2021-06-30,11.65
2021-07-01,0.48
2021-07-02,0.00
2021-07-03,0.00
2021-07-04,0.00
2021-07-05,0.00
2021-07-06,7.04
2021-07-07,19.68
2021-07-08,0.69
